               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12007,             0.03258,            0.030273,          0.00059067,                 0.1,          0.00037771,          8.6511e-05,            0.090361,            0.027718,            0.022333,              0.0991,              0.0001,              0.0001
                   1,             0.12507,             0.03164,            0.029886,          0.00059242,                 0.1,          0.00037803,          5.4645e-05,            0.089394,            0.026802,            0.022119,            0.097299,          0.00029901,          0.00029901
                   2,             0.12109,            0.033681,            0.029736,          0.00029551,                0.05,           0.0001681,          5.0429e-05,             0.08835,            0.026047,            0.021875,            0.095497,           0.0004967,           0.0004967
                   3,             0.11996,            0.032708,            0.029438,           0.0012129,               0.225,          0.00089461,          0.00014653,            0.085401,            0.025112,             0.02146,            0.093693,          0.00069307,          0.00069307
                   4,             0.11702,            0.032256,            0.029157,           0.0021489,              0.4125,           0.0021483,          0.00047883,            0.081603,            0.023891,            0.020648,            0.091888,          0.00088812,          0.00088812
                   5,             0.11146,            0.031315,            0.028562,           0.0021476,              0.4125,           0.0031292,          0.00064296,            0.076056,            0.023136,              0.0198,            0.090082,           0.0010819,           0.0010819
                   6,             0.10375,            0.031254,            0.029277,           0.0033508,               0.625,            0.005115,           0.0012503,            0.069824,            0.022692,            0.018988,            0.088274,           0.0012743,           0.0012743
                   7,             0.10123,            0.033815,            0.028837,           0.0033512,               0.625,           0.0054369,           0.0017064,             0.06497,            0.021976,            0.018512,            0.086465,           0.0014653,           0.0014653
                   8,            0.088363,            0.033892,            0.029006,           0.0033579,               0.625,            0.006008,           0.0018478,             0.06039,            0.021388,            0.017841,            0.084655,           0.0016551,           0.0016551
                   9,            0.091165,              0.0314,            0.027034,           0.0042249,               0.775,            0.015841,           0.0035529,            0.055813,            0.021387,            0.017334,            0.082844,           0.0018436,           0.0018436
                  10,            0.081115,            0.031225,            0.027768,           0.0095757,                 0.9,            0.090637,            0.020285,            0.051031,            0.021808,            0.016974,            0.081031,           0.0020307,           0.0020307
                  11,            0.080974,            0.033168,            0.025622,            0.045315,                0.15,            0.062763,            0.017988,            0.051048,            0.019724,            0.016064,            0.079217,           0.0022165,           0.0022165
                  12,             0.07566,            0.030984,             0.02298,             0.17235,               0.375,             0.18682,            0.049342,            0.045245,            0.019842,            0.015686,            0.077401,            0.002401,            0.002401
                  13,            0.075894,            0.030315,            0.025303,             0.20537,               0.525,              0.2926,            0.069054,            0.044783,            0.018517,            0.014905,            0.075584,           0.0025842,           0.0025842
                  14,            0.078919,            0.026715,            0.022559,             0.18582,              0.5875,             0.26528,            0.071032,            0.043656,            0.017972,            0.014502,            0.073766,            0.002766,            0.002766
                  15,            0.074496,            0.026012,            0.022281,            0.062856,              0.4625,             0.10516,            0.038345,            0.046695,            0.017463,             0.01424,            0.071947,           0.0029465,           0.0029465
                  16,            0.071796,            0.028122,            0.021523,             0.19423,               0.525,             0.37268,             0.14429,            0.042192,            0.017802,            0.013867,            0.070126,           0.0031258,           0.0031258
                  17,            0.074853,            0.025154,            0.021715,             0.12317,              0.7125,             0.17739,            0.068189,            0.047282,            0.017948,            0.013086,            0.068304,           0.0033037,           0.0033037
                  18,            0.067969,            0.025542,            0.018596,             0.31709,               0.775,             0.53739,             0.16534,            0.042682,            0.017689,            0.011911,             0.06648,           0.0034802,           0.0034802
                  19,            0.066995,              0.0246,            0.018746,             0.35615,             0.63677,             0.60108,             0.22112,            0.040045,            0.017511,            0.011047,            0.064655,           0.0036555,           0.0036555
